Time,Violent,Sports,Racing,Web Publishing,Animation & Modeling,Early Access,Action,Audio Production,Gore,Strategy,Photo Editing,Video Production,Nudity,Adventure,Design & Illustration,Sexual Content,Software Training,Indie,Simulation,Free to Play,Utilities,RPG,Education,Casual,Massively Multiplayer,Violent_id,Sports_id,Racing_id,Web Publishing_id,Animation & Modeling_id,Early Access_id,Action_id,Audio Production_id,Gore_id,Strategy_id,Photo Editing_id,Video Production_id,Nudity_id,Adventure_id,Design & Illustration_id,Sexual Content_id,Software Training_id,Indie_id,Simulation_id,Free to Play_id,Utilities_id,RPG_id,Education_id,Casual_id,Massively Multiplayer_id
2017-12-14 00:00,143,37967,37967,645,4220,9244,321619,0,576,283932,0,981,143,321619,4220,35,0,43598,22898,283932,4220,43598,0,10086,321619,7510,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,7510,578080,431960,385800,0,346110,4000,570,431960,346110,0,363970,578080
2017-12-14 12:00,35,19617,19617,630,8384,6481,2233322,0,236,521474,0,616,44,2233322,8384,44,0,36712,16024,521474,8384,36712,0,10169,2233322,393080,252950,252950,363890,431960,251570,578080,0,612510,570,0,365670,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,363970,578080
2017-12-15 00:00,144,38652,38652,656,4142,9002,307349,0,735,258752,0,933,144,307349,4142,28,0,45102,22068,258752,4142,45835,0,9769,307349,7510,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,7510,578080,431960,385800,0,346110,4000,570,431960,218620,0,363970,578080
2017-12-15 12:00,32,21901,21901,626,8071,6480,2314493,0,172,655003,0,681,44,2314493,8071,44,0,37960,18181,655003,8071,37960,0,11528,2314493,393080,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-16 00:00,58,50513,50513,651,4674,10434,414846,0,155,383418,0,1058,40,414846,4674,40,0,57587,29099,383418,4674,57587,0,11359,414846,253430,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-16 12:00,146,37309,37309,702,9000,9261,2473997,0,129,748308,0,855,146,2473997,9000,50,0,52530,32517,748308,9000,52530,0,19651,2473997,7510,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,7510,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-17 00:00,58,50060,50060,761,5279,12732,442732,0,88,428700,0,1111,42,442732,5279,42,0,68826,34467,428700,5279,68826,0,14175,442732,253430,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-17 12:00,63,36716,36716,782,9603,10256,2377561,0,97,789778,0,830,57,2377561,9603,57,0,66554,34089,789778,9603,66554,0,20410,2377561,393080,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,227300,570,431960,346110,0,304930,578080
2017-12-18 00:00,46,39711,39711,762,4717,11764,406606,0,79,406606,0,1065,43,325254,4717,43,0,60210,28853,406606,4717,60210,0,14150,325254,253430,252950,252950,363890,431960,251570,570,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-18 12:00,24,19893,19893,686,8518,6867,2088172,0,26,689009,0,688,48,2088172,8518,48,0,42912,17837,689009,8518,42912,0,14605,2088172,581630,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-19 00:00,57,39523,39523,764,4507,9737,425217,0,244,425217,0,1015,32,316850,4507,32,0,53190,25785,425217,4507,53190,0,13978,316850,253430,252950,252950,363890,431960,251570,570,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-19 12:00,26,20442,20442,645,8342,6624,2279012,0,141,699819,0,689,33,2279012,8342,33,0,41692,17302,699819,8342,41692,0,15459,2279012,393080,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-20 00:00,178,38882,38882,688,4680,9445,318422,0,79,289046,0,1027,178,318422,4680,38,0,51389,48146,289046,4680,51389,0,14492,318422,7510,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,7510,578080,431960,385800,0,346110,368230,570,431960,346110,0,304930,578080
2017-12-20 12:00,202,21091,21091,661,8727,6275,2330192,0,133,558345,0,685,202,2330192,8727,32,0,35313,33855,558345,8727,35313,0,15556,2330192,7510,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,7510,578080,431960,385800,0,346110,368230,570,431960,346110,0,304930,578080
2017-12-21 00:00,197,39523,39523,737,4861,9563,329404,0,605,281035,0,1036,197,329404,4861,27,0,50396,27272,281035,4861,50396,0,18513,329404,7510,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,7510,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-21 12:00,134,22397,22397,642,8830,6427,1708767,0,116,550954,0,699,134,1708767,8830,42,0,31723,20735,550954,8830,31723,0,20137,1708767,7510,252950,252950,363890,431960,251570,578080,0,580420,570,0,1840,7510,578080,431960,385800,0,346110,227300,570,431960,346110,0,304930,578080
2017-12-22 00:00,92,40318,40318,710,4980,9641,540320,0,82,286060,0,1033,45,540320,4980,45,0,50454,28714,286060,4980,50454,0,19288,540320,253430,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-22 12:00,46,27521,27521,695,8522,6953,2324580,0,293,546025,0,742,85,2324580,8522,85,0,42019,25979,546025,8522,52611,0,21588,2324580,393080,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,227300,570,431960,218620,0,304930,578080
2017-12-23 00:00,91,46636,46636,920,5358,11350,560536,0,142,306052,0,1057,91,560536,5358,58,0,59330,33629,315570,5358,59330,0,18650,560536,7510,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,7510,578080,431960,385800,0,346110,4000,730,431960,346110,0,304930,578080
2017-12-23 12:00,61,33013,33013,1003,9295,9227,2588704,0,96,613365,0,841,129,2588704,9295,129,0,57289,37459,613365,9295,57289,0,24909,2588704,7510,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,227300,570,431960,346110,0,304930,578080
2017-12-24 00:00,69,45514,45514,1050,5345,12883,559659,0,197,332028,0,1073,109,559659,5345,109,0,63197,34228,332028,5345,63197,0,17927,559659,253430,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-24 12:00,66,33891,33891,1082,9027,9977,2426448,0,134,637616,0,806,125,2426448,9027,125,0,58200,43092,637616,9027,58200,0,24620,2426448,7510,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,227300,570,431960,346110,0,304930,578080
2017-12-25 00:00,66,37107,37107,935,4981,10231,436955,0,232,320569,0,918,57,436955,4981,57,0,50707,26337,320569,4981,50707,0,18551,436955,393080,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-25 12:00,68,26462,26462,985,8659,8577,2332881,0,114,641586,0,713,138,2332881,8659,138,0,49488,33480,641586,8659,49488,0,19999,2332881,393080,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,227300,570,431960,346110,0,304930,578080
2017-12-26 00:00,98,42670,42670,1014,5237,12459,457835,0,217,407960,0,963,73,457835,5237,73,0,59266,29219,407960,5237,59266,0,18430,457835,253430,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-26 12:00,49,27570,27570,992,8490,9131,2489526,0,78,699953,0,719,94,2489526,8490,94,0,55172,34087,699953,8490,55172,0,24163,2489526,393080,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,227300,570,431960,346110,0,304930,578080
2017-12-27 00:00,246,45563,45563,1149,5072,13551,514926,0,123,441312,0,1027,246,514926,5072,72,0,64871,34964,441312,5072,64871,0,19390,514926,7510,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,7510,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-27 12:00,90,29395,29395,981,8573,9338,2521158,0,169,734570,0,808,119,2521158,8573,119,0,55865,31337,734570,8573,55865,0,26346,2521158,7510,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,227300,570,431960,346110,0,304930,578080
2017-12-28 00:00,86,47221,47221,1125,5065,14085,522743,0,123,467258,0,1078,67,522743,5065,67,0,65996,37756,467258,5065,65996,0,19516,522743,253430,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-28 12:00,50,29511,29511,998,8654,9497,2489657,0,51,594006,0,769,95,2489657,8654,95,0,56544,31864,594006,8654,56544,0,27786,2489657,393080,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-29 00:00,112,47717,47717,1179,5177,14354,553495,0,440,307945,0,1080,122,553495,5177,122,0,67694,39145,348541,5177,67694,0,19821,553495,253430,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,4000,730,431960,346110,0,304930,578080
2017-12-29 12:00,67,29718,29718,1058,8931,9567,2628360,0,188,600676,0,854,121,2628360,8931,121,0,57175,34059,600676,8931,57175,0,28553,2628360,393080,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-30 00:00,105,49604,49604,1150,5580,15015,636921,0,89,342530,0,1055,84,636921,5580,84,0,70136,40166,363483,5580,70136,0,23554,636921,253430,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,730,431960,346110,0,304930,578080
2017-12-30 12:00,155,30916,30916,1079,9278,10589,2620236,0,67,641698,0,793,155,2620236,9278,106,0,60671,35040,641698,9278,60671,0,25552,2620236,7510,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,7510,578080,431960,385800,0,346110,227300,570,431960,346110,0,304930,578080
2017-12-31 00:00,102,50943,50943,1187,5862,16586,641898,0,75,371384,0,1065,89,641898,5862,89,0,73307,40515,371384,5862,73307,0,20703,641898,253430,252950,252950,363890,431960,251570,578080,0,265210,570,0,1840,385800,578080,431960,385800,0,346110,4000,570,431960,346110,0,304930,578080
2017-12-31 12:00,90,32237,32237,1018,9137,10792,2364178,0,204,592959,0,829,115,2364178,9137,115,0,60340,38335,592959,9137,60340,0,24430,2364178,7510,252950,252950,363890,431960,251570,578080,0,612510,570,0,1840,385800,578080,431960,385800,0,346110,227300,570,431960,346110,0,304930,578080
